Job Title,Company Name,Location,Summary,Posting Date
Project Manager,CaresoftCompany Name - Caresoft,"Concord, NH, USA","Title: Project Manager Location : Concord NH 03301 (Hybrid) Duration : Long-term Note: This is a hybrid role, candidate need to come onsite at least 2-3 times per month. Overview :  Coordinate with both State and Vendor officials to develop project plans, with defined timelines, deliverables, etc. As required, create artifacts and communications to fill gaps between INFOR project management framework and State Requirements at the direction of the Program Manager. Monitor project milestones to en",Posted 4 hours ago | Updated moments ago
Project Manager,Beacon Hill Staffing GroupCompany Name - Beacon Hill Staffing Group,"Indianapolis, IN, USA","This is a fantastic opportunity for an experience Project Manager/ Project Coordinator to work in a hybrid Waterfall/Agile environment to manage key organizational initiatives. The successful person will support multiple projects to help drive the project delivery of various projects. If you are experienced in managing the details around a project plan including the administrative functions and a master at communication and driving project success, this is the role for you. Required Skills:  Mus",Posted 2 hours ago
Project Manager,USM Business SystemsCompany Name - USM Business Systems,"Middleton, WI, USA","Hello There Please find the below JD and let me know if you are interested. Title: Project Manager  Location: Middleton, WI  Duration: 12 Months Ensure that all projects are delivered on-time, within scope and within budget Developing project scopes and objectives, involving all relevant stakeholders and ensuring technical feasibility Ensure resource availability and allocation Develop a detailed project plan to track progress Use appropriate verification techniques to manage changes in project",Posted 23 hours ago
Project Manager,Randstad DigitalCompany Name - Randstad Digital,"Jersey City, NJ, USA","job summary:  Job Overview:  Accountable for the development, improvement, and execution of processes in support of the Core Technology and Infrastructure (CTI) Restoral Services team objective within or across lines of business. Focus is on long-term strategic goals. Ensures full integration of all process and linkage to best practices. Accountable for the achievement of breakthrough productivity, customer satisfaction and continuous process improvements. Works closely with the business executi",Posted moments ago
Project Manager,Pacific Consulting Inc.Company Name - Pacific Consulting Inc.,"Zanesville, OH, USA","Job Title:Project ManagerLocation:Zanesville, OH (Onsite)Job Type:FulltimeJob Description:Overview of Position: Manages and directly participates in the management of large complex projects and initiatives including analysis, design, implementation, and coordinates activities and provides support throughout the entire system life cycle including project management, requirements definition, analysis, selection/acquisition, implementation, installation, training/education documentation, troublesho",Posted 2 hours ago
Project Manager,CaresoftCompany Name - Caresoft,"New York, NY, USA","Title: Project Manager Duration: 6 Months + Location: New York, NY Roles/Responsibilities: Build relationships with Corporate Investor Relations Officers with the intention of originating corporate access for investment teams, across asset classes and geographies. Work as a centralized point of contact for inbound and outbound Stewardship inquiries. Liaise with internal and external stakeholders to arrange all logistics associated with corporate access interactions NDRs, site visits, conference",Posted 2 hours ago | Updated 2 hours ago
Project Manager,"Overture Partners, LLCCompany Name - Overture Partners, LLC","Boston, MA, USA","Location: Local candidates from the New England region only; no relocation assistance available Type of Employment: Contract Profound comprehension of project management methodologies alongside a broad awareness of software development life cycle (SDLC) methodologiesExceptional skills in negotiating effectively with both business and IT partners regarding business requirements and project timelines for medium-sized initiatives.Advanced PC skills required (Excel, Power Point, Word, etc.)Proficien",Posted moments ago
Project Manager,"Overture Partners, LLCCompany Name - Overture Partners, LLC","Boston, MA, USA","Location: Hybrid/Greater Boston Area or NY Type of Employment: Contract/Candidates must be eligibleto work in the United States Proficient background in Property/Casualty operations within the insurance industry and implementing insurance productsDemonstrated history of proficiently leading technical teams across multiple concurrent projects to achieve successful outcomes.Applying system development methodologies and lifecycles, such as Waterfall and Agile, for the implementation of solutionsCom",Posted moments ago
Project Manager,Tri-Force Consulting Services IncCompany Name - Tri-Force Consulting Services Inc,"Philadelphia, PA, USA","Title: Project ManagerLocation: Philadelphia, PennsylvaniaDuration:6 MonthsClient: City of PhiladelphiaNote: This is an onsite position on day 1.Job Description :The Library requires general deployment assistance onsite at all locations as well as project management.General deployment staff will be deployed with teams of Library staff and will work under their direction.,All library locations will be visited through this project.The project manager will work with Free Library management to plan,",Posted 7 hours ago
Project Manager,Innosoul incCompany Name - Innosoul inc,"Tallahassee, FL, USA","Job ID: FL-RFQ370-SOW23-137 Hybrid/Local Project Manager 12+ with Enterprise, tracking and PMP Experience Location: Tallahassee, FL (DOH) Duration: 8 Months Skills: 7 years of experience in providing leadership and technical expertise to enterprise IT initiatives including planning, coordination, resource development, tracking and reporting. 4 years of experience in managing projects. Demonstrated experience with projects in multiple technologies and functions. Project Manager Professional (PMP)",Posted 21 hours ago
Project Manager,"NexInfo Solutions, Inc.Company Name - NexInfo Solutions, Inc.","La Verne, CA, USA",Job Title:- Business Project Manager Job Location:- La Verne CA Job Type:- Long Term Contract/FTE Need Someone who is have pharma Manufacturing exp. Education:- Bachelors degree in Computer Science or equivalent.  Regards Sandip Kumar,Posted 1 hour ago
Project Manager,The Depository Trust & Clearing CorporationCompany Name - The Depository Trust & Clearing Corporation,"Dallas, TX, USA","Job Tittle: PM W Scrum Master (Finance) Duration: Full-time Location: TX/FL/VA/NJ/NY/MA (Hybrid 3 days onsite, Rest days remote) The impact you will have in this role:  The Lead Scrum Master is a key member of a development squad with a well-defined software development life cycle process. The Lead Scrum Master applies a broad technical knowledge of the Agile methodology to manage the scrum process with geographically dispersed teams to deliver exceptional standards in product quality and timely",Posted 22 hours ago | Updated 20 hours ago
