Job Title,Company Name,Location,Summary,Posting Date
Product Manager,Randstad DigitalCompany Name - Randstad Digital,"Remote or Quakertown, PA, USA","job summary: location: Quakertown, Pennsylvania  job type: Permanent  salary: $110,000 - 115,000  per year  work hours: 8am to 4pm  education: Bachelors responsibilities: Market Analysis: Conduct in-depth market research to identify emerging trends, customer needs, and competitive landscape within the power utility industry. Product Roadmap: Create and maintain a product roadmap that outlines short-term and long-term product development plans, ensuring alignment with the market and customer dema",Posted 19 hours ago | Updated 1 hour ago
Product Manager,Kalven Technologies Inc.Company Name - Kalven Technologies Inc.,"Berkeley Heights, NJ, USA","Imagine, define, analyze, and document product vison, requirement and effectively communicate to management, business, and technical staff.Manage, track and report product line or product feature performance throughout its lifecycle including product strategy, product planning and issue prioritization.Coordinate product priority decisions in concert with cross-functional teamsCoordinate internal and external product communication and information across product line and partner organizations.Mana",Posted 1 day ago | Updated 1 day ago
Product Manager,Advansys IncCompany Name - Advansys Inc,Remote,"VDart Inc is the leading global provider of digital solutions, products and talent management company providing digital technology solutions in Automotive, Manufacturing, Energy & Utilities and Healthcare Industries.Led by a strong global team located across 10 countries including USA, Canada, Mexico, Brazil, UK, Japan, Australia & India. We are currently accepting applicationsfrom staffing firms for our Preferred Partner Program, where we align niche staffingfirms with specific verticals based",Posted 1 day ago
Product Manager,FourthSquareCompany Name - FourthSquare,Remote,"Technical Data Product Manager Remote Long Term Must have analytics and data product management experience. Google Cloud Platform or AWS, SQL, Spark, Python, Big Data, Tableau, Superset, Big Query Good To have SQL Development Experience  Best Regards, Praveen",Posted 5 hours ago | Updated 1 hour ago
Product Manager,"Object Technology Solutions, Inc.Company Name - Object Technology Solutions, Inc.","Columbus, OH, USA","Object Technology Solutions, Inc (OTSI) has an immediate opening for a Technical Product Manager. Technical Product Manager  (Columbus, OH  Hybrid) MAJOR RESPONSIBILITES: The Manager, Technical Product Owner (TPO) leads the Information Technology (IT) product team(s) providing technology vision, systems development oversight and day-to-day operational management for all technology within their area of responsibility.Provides leadership to IT product teams to drive technical development and provi",Posted moments ago
Product Manager,HireBlazerCompany Name - HireBlazer,"Austin, TX, USA","Role: Senior BA Product Manager Location: Austin, TX 78744 (Remote but.Onsite work will be very limited and must be pre-approved by the Direct Supervisor) Duration: 10 Months Primary Skills: Business Analyst, Product Management, Project Manager, Salesforce, Agile/Scrum and Jira Project Summary: The Candidate will perform highly advanced product management, requirement gathering, and documentation as part of a project team with direction and guidance from the Project Management Office and Applica",Posted 3 hours ago | Updated 3 hours ago
Product Manager,World Wide TechnologyCompany Name - World Wide Technology,"Waltham, MA, USA","Title: Product Owner  Location: 100% Remote (working EST) Duration: 6-month contract to hire Compensation: $34-44/hour W2 Work Requirements: , Holders or Authorized to Work in the U.S. Skillset / Experience: We have an opening for a Product Owner . As Product Owner you will be expected to establish a collaborative partnership with key stakeholders and directly work on the client s IT Scrum Team consisting of developers and quality analysts. In this role, you will partner with Scrum Master and De",Posted 22 hours ago
Product Manager,"ICS Global Soft, Inc.Company Name - ICS Global Soft, Inc.","Las Vegas, NV, USA","Hello, Hope you are doing well. This is Ram from ICS Global Soft. Kindly find the below job description and let me know your availability.  Role: Project Manager OR Product Manager with payment experience Location: Las Vegas, NV Duration: Long-term  REQUIRED QUALIFICATIONS Bachelors degree in business, Accounting, and Computer Sciences or a related academic field or 7 years comparable experience.10+ years of experience as a Project Manager and/or Program Manager, preferably in a technology focus",Posted 1 day ago | Updated 22 hours ago
Product Manager,"Activesoft, Inc.Company Name - Activesoft, Inc.",Remote,"TITLE: Technical Product Manager with Azure and Databricks experience Location: Remote Work Duration: 6 months contract to permanent Note to Vendors Prescreen video consists of 5 questions created by the manager, must be completed. Manager is open to remote candidates.  Top Skills, must have: 3-5 years of Technical Data Product management or data engineering experience in Azure, Databricks, Synapse environment3-5 years of SQL or python experience at an intermediate to advanced level is required",Posted 5 hours ago
Product Manager,"InfoVision, Inc.Company Name - InfoVision, Inc.","New York, NY, USA","Job Title: Product Manager Location: New York, NY Duration: Long-Term Mode: Onsite Note: Data Migration Experience is Strongly needed Job Description: Strong knowledge and understanding of SDLC with the ability to understand and apply newest technology and trendsAbility to work effectively and individually with Technical and Non-Technical team membersAble to exercise independent judgment, multi-task and take lead role on projects with minimal directionPossess technical skills, including: Data vi",Posted 5 hours ago
Product Manager,JobotCompany Name - Jobot,"Houston, TX, USA","100% Remote Product Manager - up to $150K base salary - Software Development, Stakeholder Management, Product Strategy and Roadmap  This Jobot Job is hosted by: Lucas Watson Are you a fit? Easy Apply now by clicking the ""Apply Now"" button and sending us your resume. Salary: $120,000 - $150,000 per year  A bit about us:  Our client, and innovation and technology focused upstream oil and gas enterprise, is seeking a Product Manager for a full time, direct hire, 100% remote role.  Why join us?  Ful",Posted 18 hours ago | Updated 4 hours ago
Product Manager,JobotCompany Name - Jobot,"Dallas, TX, USA","100% Remote Product Manager - up to $150K base salary - Software Development, Stakeholder Management, Product Strategy and Roadmap  This Jobot Job is hosted by: Lucas Watson Are you a fit? Easy Apply now by clicking the ""Apply Now"" button and sending us your resume. Salary: $120,000 - $150,000 per year  A bit about us:  Our client, and innovation and technology focused upstream oil and gas enterprise, is seeking a Product Manager for a full time, direct hire, 100% remote role.  Why join us?  Ful",Posted 18 hours ago | Updated 4 hours ago
Product Manager,Pinnacle GroupCompany Name - Pinnacle Group,"Jersey City, NJ, USA","Product Manager - Jersey City, NJ Hybrid - 2 days remote & 3 days onsite  12 month contract with possible conversion or extension. Primary Responsibilities: Developing, managing and supporting voice and SMS capture solutions as well as chat and messaging applications on a mobile device Defines and communicates product vision and strategy in line with the customers' long-term business goals Conducts market research and tracks industry developments with regards to productivity, collaboration, data",Posted 19 hours ago | Updated 5 hours ago
Product Manager,"Esolvit, Inc.Company Name - Esolvit, Inc.",Remote,"Job Title: Agile Product Owner/Product Manager Location:Austin, TX - Teleworking (local to Texas)Duration:Long term Required Skills: 7 years of experience with application development as an agile/scrum product owner/manager7 years of experience with customer focused user experience design5 years of experience with Agile development experience with Scrum, Kanban5 years of experience with writing acceptance criteria-based user stories5 years of experience with analytical thought process to aid wit",Posted 4 hours ago | Updated 4 hours ago
Product Manager,JobotCompany Name - Jobot,"Houston, TX, USA","Hybrid Position  This Jobot Job is hosted by: Duran Workman Are you a fit? Easy Apply now by clicking the ""Apply Now"" button and sending us your resume. Salary: $200,000 - $240,000 per year  A bit about us:  As a Permanent Senior Product Manager, you will play a pivotal role in shaping the future of our innovative technology solutions in the Oil and Gas industry. You will be part of a dynamic team, working closely with cross-functional teams to drive product vision, strategy, roadmap, and releas",Posted 18 hours ago | Updated 4 hours ago
Product Manager,SumeruCompany Name - Sumeru,,"Position: CMS Product Manager  Location: Remote (EST/CST Location) Top Skills- Experience with AB experimentation, website implementation, lead generation. GDD (Globally Distributed Development)  experience is required Qualifications Experience working with a multi-disciplinary team on customer-focused products and services Experience developing and launching digital products with CMS application, Experience in AEM or Drupal will be a plus Experience with AB experimentation, website implementati",Posted 4 hours ago | Updated 3 hours ago
Product Manager,Acies ITCompany Name - Acies IT,Remote,"Contract to HireTop Skills, must have:3-5 years of Technical Data Product management or data engineering experience in Azure, Databricks, Synapse environment3-5 years of SQL or python experience at an intermediate to advanced level is required for performing data analysis and validation. Examples include querying data (e.g. prescriber information) tables using SELECT statements, performing joins, applying filters, and aggregating data to troubleshoot data issues. The ability to execute such quer",Posted 3 hours ago | Updated 3 hours ago
Product Manager,JobotCompany Name - Jobot,"San Francisco, CA, USA","Top Martech firm seeking Principal AI Product Manager  This Jobot Job is hosted by: Tyler Mase Are you a fit? Easy Apply now by clicking the ""Apply Now"" button and sending us your resume. Salary: $150,000 - $300,000 per year  A bit about us:  10 year old Martech Firm with $75M+ in funding!  Why join us?  Strong Base Salary Fantastic Bonus & Equity Package Great benefit plan (medical/dental/vision/life) 401k match, flexible time off.  Monthly wellness and cell phone stipends, childcare and contin",Posted 6 hours ago | Updated 4 hours ago
